id,artikul_wb,nazvanie_kratkoe,kategoriya,artikul_prodavca_osnovnoy,alternativnye_nazvaniya,wb,ozon,ym,megamarket,letual,zya,dop_artikuly_1,kod_nomenklatury_zya,dop_artikuly_2,nazvanie_wb_korrektnoe,artikul_yam,nazvanie_yam,ishodnyy_status_kommentariy,poiskovaya_stroka
1,847950992,Баттер SULTAN,Для душа,ButterSultan100,"Body shea butter Баттер для тела с маслом Ши ""Султан"" 100 мл",4640468910792,4640468910792,4640468910792,4640468910792,4640468910792,4640468910792,ButterSultan100,,ButterSultan100,Крем баттер для тела с маслом ши парфюмированный увлажняющий,5194423853,"Крем баттер для тела с маслом ши и шиммером парфюмированный увлажняющий, 100 мл",Нет,"847950992 | Баттер SULTAN | Для душа | ButterSultan100 | Body shea butter Баттер для тела с маслом Ши ""Султан"" 100 мл | Крем баттер для тела с маслом ши парфюмированный увлажняющий | 5194423853 | Крем баттер для тела с маслом ши и шиммером парфюмированный увлажняющий, 100 мл"
2,848314034,Баттер STRAWBERRY,Для душа,ButterStrawberry100,Body shea butter Баттер STRAWBERRY MILKSHAKE 100 мл,4640468910945,4640468910945,4640468910945,4640468910945,4640468910945,4640468910945,ButterStrawberry100,,ButterStrawberry100,Крем баттер для тела с маслом ши парфюмированный увлажняющий,5194775638,"Крем баттер для тела с маслом ши и шиммером парфюмированный увлажняющий, 100 мл",Нет,"848314034 | Баттер STRAWBERRY | Для душа | ButterStrawberry100 | Body shea butter Баттер STRAWBERRY MILKSHAKE 100 мл | Крем баттер для тела с маслом ши парфюмированный увлажняющий | 5194775638 | Крем баттер для тела с маслом ши и шиммером парфюмированный увлажняющий, 100 мл"
3,848585261,Масло для душа,Для душа,ShowerOil250,Shower Oil Масло для душа 250 мл,4640468910808,4640468910808,4640468910808,4640468910808,4640468910808,4640468910808,ShowerOil250,,ShowerOil250,Масло для душа и ванны парфюмированное для сухой кожи,5195206651,"Масло для душа и ванны парфюмированное, увлажняющее для сухой кожи",Нет,"848585261 | Масло для душа | Для душа | ShowerOil250 | Shower Oil Масло для душа 250 мл | Масло для душа и ванны парфюмированное для сухой кожи | 5195206651 | Масло для душа и ванны парфюмированное, увлажняющее для сухой кожи"
4,271713205,"Маска Total Miracle 10 in 1, 50 мл",Домашка,TotalMiracle50,Total Miracle Маска-концентрат 50 мл,4657784320693,4657784320693,4657784320693,4657784320693,4657784320693,4657784320693,TotalMiracle50,99000027783,TotalMiracle50,"JKeratin Total Miracle маска для гладкости волос, 50 мл",103584757743,"JKeratin Total Miracle 10 в 1 маска универсальная для волос, 50 мл",Нет,"271713205 | Маска Total Miracle 10 in 1, 50 мл | Домашка | TotalMiracle50 | Total Miracle Маска-концентрат 50 мл | JKeratin Total Miracle маска для гладкости волос, 50 мл | 103584757743 | JKeratin Total Miracle 10 в 1 маска универсальная для волос, 50 мл"
5,271713206,"Маска Total Miracle 10 in 1, 200 мл",Домашка,TotalMiracle200,Total Miracle Маска-концентрат 200 мл,4657784320648,4657784320648,4657784320648,4657784320648,4657784320648,4657784320648,TotalMiracle200,99000027781,TotalMiracle200,"JKeratin Total Miracle маска для гладкости волос, 200 мл",103584748404,"JKeratin Total Miracle 10 в 1 маска универсальная для волос, 200 мл",Нет,"271713206 | Маска Total Miracle 10 in 1, 200 мл | Домашка | TotalMiracle200 | Total Miracle Маска-концентрат 200 мл | JKeratin Total Miracle маска для гладкости волос, 200 мл | 103584748404 | JKeratin Total Miracle 10 в 1 маска универсальная для волос, 200 мл"
6,,"Маска Total Miracle 10 in 1, 660 мл",Домашка,TotalMiracle_660,"Маска Total Miracle 10 in 1, 660 мл",4640468910877,4640468910877,4640468910877,4640468910877,4640468910877,4640468910877,TotalMiracle_660,,TotalMiracle_660,"JKeratin Total Miracle маска для гладкости волос, 660 мл",4757528152,"JKeratin Total Miracle 10 в 1 маска универсальная для увлажнения и питания волос, 660 мл",Нет,"Маска Total Miracle 10 in 1, 660 мл | Домашка | TotalMiracle_660 | Маска Total Miracle 10 in 1, 660 мл | JKeratin Total Miracle маска для гладкости волос, 660 мл | 4757528152 | JKeratin Total Miracle 10 в 1 маска универсальная для увлажнения и питания волос, 660 мл"
7,287871277,Perfect Ends 50 мл,Shine Edition,PerfectEnds50,Perfect Ends Флюид-масло 50мл.,4657784320754,4657784320754,4657784320754,4657784320754,,,PerfectEnds50,99000036460,PerfectEnds50,JKeratin Perfect Ends масло для секущихся кончиков волос,103648216995,"Perfect Ends масло-флюид для запечатывания поврежденных и секущихся кончиков волос, 50 мл",Нет,"287871277 | Perfect Ends 50 мл | Shine Edition | PerfectEnds50 | Perfect Ends Флюид-масло 50мл. | JKeratin Perfect Ends масло для секущихся кончиков волос | 103648216995 | Perfect Ends масло-флюид для запечатывания поврежденных и секущихся кончиков волос, 50 мл"
8,325157266,Doctor энзимный пилинг-гоммаж,Shine Edition,пилинг_DoctorEnzyme,Doctor энзимный пилинг-гоммаж,4657784320679,4657784320679,4657784320679,4657784320679,4657784320679,4657784320679,пилинг_DoctorEnzyme,,пилинг_DoctorEnzyme,JKeratin Doctor Enzyme пилинг для очищения кожи головы,103779339371,JKeratin Doctor Enzyme энзимный пилинг-гоммаж для волос 150 мл,Нет,325157266 | Doctor энзимный пилинг-гоммаж | Shine Edition | пилинг_DoctorEnzyme | Doctor энзимный пилинг-гоммаж | JKeratin Doctor Enzyme пилинг для очищения кожи головы | 103779339371 | JKeratin Doctor Enzyme энзимный пилинг-гоммаж для волос 150 мл
9,334642114,Total Repair 11в1 Маска-концентрат 200 мл,Shine Edition,TotalRepair200,Total Repair 11в1 Маска-концентрат 200 мл,4657784320785,4657784320785,4657784320785,4657784320785,4657784320785,4657784320785,TotalRepair200,,TotalRepair200,"JKeratin Total Repair маска для вьющихся волос, 200 мл",103779426683,"JKeratin Total Repair маска для вьющихся и кудрявых волос, 200 мл",Нет,"334642114 | Total Repair 11в1 Маска-концентрат 200 мл | Shine Edition | TotalRepair200 | Total Repair 11в1 Маска-концентрат 200 мл | JKeratin Total Repair маска для вьющихся волос, 200 мл | 103779426683 | JKeratin Total Repair маска для вьющихся и кудрявых волос, 200 мл"
10,334644147,Total Repair 11в1 Маска-концентрат 50 мл,Shine Edition,TotalRepair50,Total Repair 11в1 Маска-концентрат 50 мл,4657784320792,4657784320792,4657784320792,4657784320792,4657784320792,4657784320792,TotalRepair50,,TotalRepair50,"JKeratin Total Repair маска для вьющихся волос, 50 мл",103779434157,"JKeratin Total Repair маска для вьющихся и кудрявых волос, 50 мл",Нет,"334644147 | Total Repair 11в1 Маска-концентрат 50 мл | Shine Edition | TotalRepair50 | Total Repair 11в1 Маска-концентрат 50 мл | JKeratin Total Repair маска для вьющихся волос, 50 мл | 103779434157 | JKeratin Total Repair маска для вьющихся и кудрявых волос, 50 мл"
11,340633331,Спрей Ocean Mist 100 мл,Shine Edition,спрей_OceanMist,Спрей Ocean Mist 100 мл,4657784320747,4657784320747,4657784320747,4657784320747,4657784320747,4657784320747,спрей_OceanMist,,спрей_OceanMist,JKeratin Ocean Mist спрей объём и защита волос морская соль,103795754670,Ocean Mist спрей для объёма и термозащиты волос с морской солью 100 мл,Нет,340633331 | Спрей Ocean Mist 100 мл | Shine Edition | спрей_OceanMist | Спрей Ocean Mist 100 мл | JKeratin Ocean Mist спрей объём и защита волос морская соль | 103795754670 | Ocean Mist спрей для объёма и термозащиты волос с морской солью 100 мл
12,342551548,Fly Curls Гель-невидимка для кудрей 100 мл,Shine Edition,Fly_Curls,Fly Curls Гель-невидимка для кудрей 100 мл,4657784320686,4657784320686,4657784320686,4657784320686,4657784320686,4657784320686,Fly_Curls,,Fly_Curls,JKeratin Fly Curls гель для укладки волнистых кудрявых волос,103798582505,Fly Curls гель-невидимка для укладки волнистых и кудрявых волос 100 мл,Нет,342551548 | Fly Curls Гель-невидимка для кудрей 100 мл | Shine Edition | Fly_Curls | Fly Curls Гель-невидимка для кудрей 100 мл | JKeratin Fly Curls гель для укладки волнистых кудрявых волос | 103798582505 | Fly Curls гель-невидимка для укладки волнистых и кудрявых волос 100 мл
13,343919598,Keratin Shine Кератин 150 мл,Shine Edition,Keratin_Shine_150,Keratin Shine Кератин 150 мл,4640468910693,4640468910693,4640468910693,4640468910693,4640468910693,4640468910693,Keratin_Shine_150,,Keratin_Shine_150,JKeratin Keratin Shine кератин для укрепления волос 150 мл,103803378992,Keratin Shine кератин для выпрямления и укрепления волос 150 мл,Нет,343919598 | Keratin Shine Кератин 150 мл | Shine Edition | Keratin_Shine_150 | Keratin Shine Кератин 150 мл | JKeratin Keratin Shine кератин для укрепления волос 150 мл | 103803378992 | Keratin Shine кератин для выпрямления и укрепления волос 150 мл
14,343919597,Keratin Shine Кератин 500 мл,Shine Edition,Keratin_Shine_500,Keratin Shine Кератин 500 мл,4640468910686,4640468910686,4640468910686,4640468910686,4640468910686,4640468910686,Keratin_Shine_500,,Keratin_Shine_500,JKeratin Keratin Shine кератин для укрепления волос 500 мл,103803378993,Keratin Shine кератин для выпрямления и укрепления волос 500 мл,Нет,343919597 | Keratin Shine Кератин 500 мл | Shine Edition | Keratin_Shine_500 | Keratin Shine Кератин 500 мл | JKeratin Keratin Shine кератин для укрепления волос 500 мл | 103803378993 | Keratin Shine кератин для выпрямления и укрепления волос 500 мл
15,351147631,"Набор масок Total Miracle 10 in 1, 10х50 мл",Shine Edition,Total_miracle_50_10шт,"Набор масок Total Miracle 10 in 1, 10х50 мл",2043121075234,2043121075234,2043121075234,2043121075234,2043121075234,2043121075234,Total_miracle_50_10шт,,Total_miracle_50_10шт,"Набор масок для волос Total Miracle 10 in 1, 10 шт по 50 мл",103812234063,"JKeratin Total Miracle 10 в 1 набор масок для увлажнения и питания волос, 10 шт по 50 мл",Нет,"351147631 | Набор масок Total Miracle 10 in 1, 10х50 мл | Shine Edition | Total_miracle_50_10шт | Набор масок Total Miracle 10 in 1, 10х50 мл | Набор масок для волос Total Miracle 10 in 1, 10 шт по 50 мл | 103812234063 | JKeratin Total Miracle 10 в 1 набор масок для увлажнения и питания волос, 10 шт по 50 мл"
